Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-7.2000e-04,0,0.04
-7.1800e-04,0.16,0.08
-7.1600e-04,0.04,0.12
-7.1400e-04,0.08,0.04
-7.1200e-04,0,-0.04
-7.1000e-04,0,0.08
-7.0800e-04,0.04,0
-7.0600e-04,0.12,-0.04
-7.0400e-04,0.08,0
-7.0200e-04,0.04,0.04
-7.0000e-04,0.08,0.04
-6.9800e-04,0.08,0
-6.9600e-04,0.04,0.08
-6.9400e-04,0.12,0.04
-6.9200e-04,-0.04,0.04
-6.9000e-04,0.08,0.04
-6.8800e-04,0,0.04
-6.8600e-04,0.04,0.08
-6.8400e-04,0.04,0.08
-6.8200e-04,0.08,0
-6.8000e-04,0.08,0.08
-6.7800e-04,0.08,0.04
-6.7600e-04,0.08,0.04
-6.7400e-04,0.08,0.04
-6.7200e-04,0.04,0
-6.7000e-04,0.04,0.08
-6.6800e-04,0.12,0.08
-6.6600e-04,0.04,0.04
-6.6400e-04,0.04,0.04
-6.6200e-04,0.08,0
-6.6000e-04,0.08,0.08
-6.5800e-04,0.08,0.04
-6.5600e-04,-0.04,0
-6.5400e-04,0.12,0.04
-6.5200e-04,0.08,0.04
-6.5000e-04,0,0.04
-6.4800e-04,0,0.04
-6.4600e-04,0.04,0.08
-6.4400e-04,0.08,0
-6.4200e-04,0.04,0.04
-6.4000e-04,0.12,0.08
-6.3800e-04,0.04,0.04
-6.3600e-04,0.08,0.04
-6.3400e-04,0.12,0
-6.3200e-04,0.08,0
-6.3000e-04,0.04,0
-6.2800e-04,0,0
-6.2600e-04,0.08,0.04
-6.2400e-04,0.2,0.04
-6.2200e-04,0.08,0
-6.2000e-04,0.08,0
-6.1800e-04,0.08,0.04
-6.1600e-04,0.04,0.04
-6.1400e-04,0.08,0.04
-6.1200e-04,0.08,0.04
-6.1000e-04,0.04,0
-6.0800e-04,0.08,0.08
-6.0600e-04,0.04,0.04
-6.0400e-04,0.04,0.04
-6.0200e-04,0.08,0
-6.0000e-04,0.04,0.08
-5.9800e-04,0.12,0.04
-5.9600e-04,0.08,0.08
-5.9400e-04,0,0.04
-5.9200e-04,0.08,0.08
-5.9000e-04,0.08,0.04
-5.8800e-04,0.08,0.08
-5.8600e-04,0.08,0.04
-5.8400e-04,0,0.08
-5.8200e-04,0,0.08
-5.8000e-04,0.08,0
-5.7800e-04,0,0.08
-5.7600e-04,0.08,-0.04
-5.7400e-04,0.12,0.12
-5.7200e-04,0.04,0
-5.7000e-04,0.04,0
-5.6800e-04,0,0
-5.6600e-04,0,0
-5.6400e-04,0.04,0.08
-5.6200e-04,0.04,0
-5.6000e-04,0.08,0.12
-5.5800e-04,0,0.04
-5.5600e-04,0.04,-0.04
-5.5400e-04,0.04,-0.04
-5.5200e-04,0.04,0
-5.5000e-04,0,0.08
