# Frecuencia [Hz], Z [Ohm], Fase []
8.275860000000000127e+01,6.063560000000000000e+05,-4.818909999999999805e+00
8.429330000000000211e+01,6.051970000000000000e+05,-4.884640000000000093e+00
8.586150000000000659e+01,6.225420000000000000e+05,-5.954399999999999693e+00
8.743810000000000571e+01,6.175080000000000000e+05,-6.266639999999999766e+00
8.910009999999999764e+01,6.191630000000000000e+05,-5.893860000000000099e+00
9.074410000000000309e+01,6.169880000000000000e+05,-5.922139999999999738e+00
9.242140000000000555e+01,6.149510000000000000e+05,-6.317610000000000170e+00
9.413240000000000407e+01,6.164530000000000000e+05,-7.484099999999999753e+00
9.587730000000000530e+01,6.206280000000000000e+05,-7.368319999999999759e+00
9.768800000000000239e+01,6.263970000000000000e+05,-6.152660000000000018e+00
9.950249999999999773e+01,6.037580000000000000e+05,-7.273489999999999789e+00
1.013509999999999991e+02,6.135490000000000000e+05,-8.701510000000000744e+00
1.032699999999999960e+02,6.267270000000000000e+05,-7.893379999999999619e+00
1.051520000000000010e+02,6.185630000000000000e+05,-7.697659999999999947e+00
1.071430000000000007e+02,6.183920000000000000e+05,-8.215619999999999479e+00
1.091310000000000002e+02,6.019650000000000000e+05,-8.097699999999999676e+00
1.111520000000000010e+02,5.838650000000000000e+05,-7.326559999999999739e+00
1.132500000000000000e+02,6.074850000000000000e+05,-7.784799999999999720e+00
1.153400000000000034e+02,6.033990000000000000e+05,-8.931229999999999336e+00
1.175090000000000003e+02,6.057100000000000000e+05,-8.598359999999999559e+00
1.197129999999999939e+02,5.939880000000000000e+05,-9.616960000000000619e+00
1.218520000000000039e+02,5.811070000000000000e+05,-8.451890000000000569e+00
1.241719999999999970e+02,5.874100000000000000e+05,-8.169159999999999755e+00
1.265289999999999964e+02,5.867020000000000000e+05,-9.590859999999999275e+00
1.288660000000000139e+02,6.029770000000000000e+05,-9.948890000000000455e+00
1.311759999999999877e+02,5.893670000000000000e+05,-9.274739999999999540e+00
1.336299999999999955e+02,6.020940000000000000e+05,-9.624760000000000204e+00
1.361160000000000139e+02,5.882640000000000000e+05,-9.465640000000000498e+00
1.386959999999999980e+02,5.987720000000000000e+05,-1.016140000000000043e+01
1.413089999999999975e+02,6.092210000000000000e+05,-9.006909999999999528e+00
1.439540000000000077e+02,6.001750000000000000e+05,-9.658759999999999124e+00
