# Wed Jun 28 19:53:44 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
1.000000000000000000e+04,3.208559999999999854e+04,-8.725889999999999702e+01
1.034479999999999927e+04,3.105690000000000146e+04,-8.717270000000000607e+01
1.111110000000000036e+04,2.894540000000000146e+04,-8.714919999999999334e+01
1.111110000000000036e+04,2.894659999999999854e+04,-8.714090000000000202e+01
1.200000000000000000e+04,2.683050000000000000e+04,-8.710970000000000368e+01
1.200000000000000000e+04,2.683100000000000000e+04,-8.710439999999999827e+01
1.250000000000000000e+04,2.577179999999999927e+04,-8.709940000000000282e+01
1.363639999999999964e+04,2.365550000000000000e+04,-8.703889999999999816e+01
1.428570000000000073e+04,2.259779999999999927e+04,-8.700709999999999411e+01
1.428570000000000073e+04,2.259590000000000146e+04,-8.700759999999999650e+01
1.500000000000000000e+04,2.153420000000000073e+04,-8.695829999999999416e+01
1.666670000000000073e+04,1.941220000000000073e+04,-8.686390000000000100e+01
1.764709999999999854e+04,1.834840000000000146e+04,-8.679640000000000555e+01
1.875000000000000000e+04,1.728529999999999927e+04,-8.672440000000000282e+01
1.875000000000000000e+04,1.728329999999999927e+04,-8.672889999999999588e+01
2.000000000000000000e+04,1.621829999999999927e+04,-8.663930000000000575e+01
2.307690000000000146e+04,1.408620000000000073e+04,-8.642409999999999570e+01
2.307690000000000146e+04,1.408679999999999927e+04,-8.641700000000000159e+01
2.500000000000000000e+04,1.301779999999999927e+04,-8.627370000000000516e+01
2.727270000000000073e+04,1.194500000000000000e+04,-8.611109999999999332e+01
2.727270000000000073e+04,1.194460000000000036e+04,-8.611409999999999343e+01
2.857140000000000146e+04,1.140910000000000036e+04,-8.600050000000000239e+01
3.000000000000000000e+04,1.087420000000000073e+04,-8.588790000000000191e+01
3.157890000000000146e+04,1.033939999999999964e+04,-8.577299999999999613e+01
