# Wed Jun 28 17:10:52 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
4.411760000000000218e+03,8.275380000000000291e+04,-7.106659999999999400e+01
4.761899999999999636e+03,7.463360000000000582e+04,-7.528470000000000084e+01
5.172409999999999854e+03,6.893869999999999709e+04,-7.542210000000000036e+01
5.769229999999999563e+03,6.180230000000000291e+04,-7.653889999999999816e+01
6.250000000000000000e+03,5.731209999999999854e+04,-7.612160000000000082e+01
6.976739999999999782e+03,5.161059999999999854e+04,-7.632410000000000139e+01
7.317069999999999709e+03,4.946359999999999854e+04,-7.574160000000000537e+01
7.317069999999999709e+03,4.948350000000000000e+04,-7.553810000000000002e+01
7.500000000000000000e+03,4.820900000000000000e+04,-7.619079999999999586e+01
7.894739999999999782e+03,4.589050000000000000e+04,-7.608230000000000359e+01
8.108109999999999673e+03,4.477600000000000000e+04,-7.597920000000000584e+01
8.333329999999999927e+03,4.364630000000000291e+04,-7.573560000000000514e+01
8.333329999999999927e+03,4.365169999999999709e+04,-7.575400000000000489e+01
8.823530000000000655e+03,4.145140000000000146e+04,-7.517419999999999902e+01
9.090909999999999854e+03,4.073669999999999709e+04,-7.312760000000000105e+01
9.375000000000000000e+03,3.944709999999999854e+04,-7.374099999999999966e+01
9.375000000000000000e+03,3.927709999999999854e+04,-7.438070000000000448e+01
1.000000000000000000e+04,3.695200000000000000e+04,-7.365200000000000102e+01
1.000000000000000000e+04,3.751150000000000000e+04,-7.230769999999999698e+01
1.034479999999999927e+04,1.218330000000000000e+05,-2.757539999999999836e+01
1.111110000000000036e+04,1.064490000000000000e+05,-2.872749999999999915e+01
1.111110000000000036e+04,1.019650000000000000e+05,-2.846819999999999951e+01
1.200000000000000000e+04,8.958050000000000000e+04,-2.874279999999999902e+01
1.200000000000000000e+04,1.039890000000000000e+05,-2.775359999999999872e+01
1.250000000000000000e+04,1.115880000000000000e+05,-2.737280000000000157e+01
1.363639999999999964e+04,2.838200000000000000e+04,-6.905389999999999873e+01
1.428570000000000073e+04,2.699420000000000073e+04,-6.979649999999999466e+01
1.428570000000000073e+04,2.700520000000000073e+04,-6.974020000000000152e+01
1.500000000000000000e+04,2.594329999999999927e+04,-6.880880000000000507e+01
