# Frecuencia [Hz], Resistencia [Ohm], Reactancia [Ohm]
1.441610000000000014e+02,5.097789841541093665e+02,-4.734846298605140873e+03
1.468429999999999893e+02,4.938817920316893151e+02,-4.651252684546343517e+03
1.495509999999999877e+02,4.788288827807756434e+02,-4.569792318816569605e+03
1.523619999999999948e+02,4.641736255909774513e+02,-4.488191170416622299e+03
1.551990000000000123e+02,4.497001023432982834e+02,-4.408311993728713787e+03
1.580610000000000070e+02,4.364727524158045071e+02,-4.331353756101961153e+03
1.610310000000000059e+02,4.230397169907961370e+02,-4.253786072518028050e+03
1.640240000000000009e+02,4.103661890139242701e+02,-4.177954924902157472e+03
1.671310000000000002e+02,3.979008813845720738e+02,-4.102709973931057903e+03
1.702609999999999957e+02,3.859622331985948449e+02,-4.029156104514238450e+03
1.734099999999999966e+02,3.743464544204203435e+02,-3.957665137548003713e+03
1.765740000000000123e+02,3.636636287946884067e+02,-3.888371031767915156e+03
1.799639999999999986e+02,3.526502501179029991e+02,-3.816953851593149466e+03
1.832620000000000005e+02,3.423508856567983685e+02,-3.749693941535762860e+03
1.866829999999999927e+02,3.323337638087122059e+02,-3.682564645777822079e+03
1.901140000000000043e+02,3.227813015431185022e+02,-3.617477941034904234e+03
1.936730000000000018e+02,3.137775819434758660e+02,-3.552499584513656828e+03
1.973679999999999950e+02,3.043061466733332168e+02,-3.487348294778832042e+03
2.009379999999999882e+02,2.958957787692118018e+02,-3.426457516474786644e+03
2.047779999999999916e+02,2.873431137080308986e+02,-3.363438257364712626e+03
2.086229999999999905e+02,2.791559133274819828e+02,-3.302603027984789605e+03
2.124650000000000034e+02,2.715996733636577574e+02,-3.243899841229496815e+03
2.164499999999999886e+02,2.636307425857444287e+02,-3.185158462943984887e+03
2.204259999999999877e+02,2.565789503551849862e+02,-3.128586465216301349e+03
2.245509999999999877e+02,2.495615394822536928e+02,-3.072110156050926435e+03
2.286589999999999918e+02,2.429703341040589351e+02,-3.017794719715931933e+03
2.329190000000000111e+02,2.375655332447086323e+02,-2.963142021556536292e+03
2.373420000000000130e+02,2.311329534444186891e+02,-2.908781490647253577e+03
