# Tue Sep  5 19:18:36 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0, T = 0, nplc=0.5
7.298168659210205078e+00,4.000469999999999859e-01,3.960899999999999952e-07
7.317387104034423828e+00,4.000469999999999859e-01,3.908119999999999925e-07
7.335649490356445312e+00,4.000469999999999859e-01,3.962020000000000163e-07
7.354096889495849609e+00,4.000529999999999919e-01,3.951740000000000153e-07
7.375225782394409180e+00,4.000500000000000167e-01,3.936829999999999922e-07
7.392689228057861328e+00,4.000420000000000087e-01,3.926460000000000075e-07
7.411224842071533203e+00,4.000469999999999859e-01,3.928519999999999764e-07
7.430788040161132812e+00,4.000380000000000047e-01,3.970150000000000117e-07
7.449712038040161133e+00,4.000509999999999899e-01,3.957829999999999912e-07
7.468773841857910156e+00,4.000449999999999839e-01,3.949860000000000139e-07
7.491816759109497070e+00,4.000469999999999859e-01,3.940239999999999819e-07
7.507313489913940430e+00,4.000469999999999859e-01,3.972769999999999912e-07
7.525326490402221680e+00,4.000449999999999839e-01,3.979249999999999848e-07
7.544285058975219727e+00,4.000480000000000147e-01,3.995299999999999784e-07
7.563275098800659180e+00,4.000520000000000187e-01,4.022959999999999913e-07
7.581263780593872070e+00,4.000500000000000167e-01,3.981930000000000240e-07
7.603554010391235352e+00,4.000509999999999899e-01,4.018029999999999882e-07
7.619588613510131836e+00,4.000529999999999919e-01,3.961409999999999736e-07
7.638491153717041016e+00,4.000489999999999879e-01,3.958769999999999919e-07
7.657579898834228516e+00,4.000520000000000187e-01,3.890410000000000225e-07
7.675647497177124023e+00,4.000480000000000147e-01,3.907150000000000149e-07
7.695325374603271484e+00,4.000529999999999919e-01,3.872889999999999947e-07
7.715167522430419922e+00,4.000500000000000167e-01,3.863100000000000228e-07
7.732752561569213867e+00,4.000489999999999879e-01,3.903560000000000049e-07
7.751638174057006836e+00,4.000480000000000147e-01,3.892199999999999873e-07
7.773036956787109375e+00,4.000469999999999859e-01,3.875540000000000040e-07
7.792493343353271484e+00,4.000429999999999819e-01,3.860030000000000188e-07
7.810573339462280273e+00,4.000400000000000067e-01,3.911180000000000219e-07
7.833638191223144531e+00,4.000460000000000127e-01,3.954310000000000156e-07
7.849233150482177734e+00,4.000420000000000087e-01,3.992179999999999951e-07
7.868373155593872070e+00,4.000440000000000107e-01,3.970909999999999920e-07
7.888220310211181641e+00,4.000440000000000107e-01,4.003929999999999775e-07
7.906978368759155273e+00,4.000429999999999819e-01,4.010520000000000101e-07
7.926947355270385742e+00,4.000460000000000127e-01,4.005320000000000028e-07
7.949030876159667969e+00,4.000500000000000167e-01,4.006240000000000013e-07
7.963986635208129883e+00,4.000489999999999879e-01,4.011350000000000248e-07
7.983006715774536133e+00,4.000489999999999879e-01,4.017359999999999916e-07
8.002107620239257812e+00,4.000469999999999859e-01,3.992389999999999925e-07
8.023112773895263672e+00,4.000480000000000147e-01,3.944379999999999748e-07
8.042103052139282227e+00,4.000500000000000167e-01,3.959319999999999749e-07
8.062090396881103516e+00,4.000529999999999919e-01,3.922019999999999805e-07
8.079080581665039062e+00,4.000469999999999859e-01,3.884830000000000251e-07
8.098387241363525391e+00,4.000500000000000167e-01,3.854589999999999842e-07
