Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-2.0260e-03,0.01,0.08
-2.0250e-03,0.01,0.12
-2.0240e-03,0.01,0.12
-2.0230e-03,0.03,0.08
-2.0220e-03,0.03,0.1
-2.0210e-03,0.01,0.12
-2.0200e-03,0.03,0.08
-2.0190e-03,0.03,0.1
-2.0180e-03,0.01,0.14
-2.0170e-03,0.03,0.12
-2.0160e-03,0.01,0.08
-2.0150e-03,-0.01,0.1
-2.0140e-03,0.01,0.08
-2.0130e-03,0.03,0.08
-2.0120e-03,0.01,0.06
-2.0110e-03,-0.01,0.1
-2.0100e-03,0.05,0.08
-2.0090e-03,0.03,0.06
-2.0080e-03,-0.01,0.14
-2.0070e-03,0.01,0.16
-2.0060e-03,-0.01,0.12
-2.0050e-03,0.01,0.06
-2.0040e-03,0.03,0.1
-2.0030e-03,-0.01,0.12
-2.0020e-03,0.01,0.08
-2.0010e-03,0.01,0.12
-2.0000e-03,0.01,0.1
-1.9990e-03,0.01,0.12
-1.9980e-03,0.01,0.04
-1.9970e-03,-0.01,0.08
-1.9960e-03,-0.01,0.08
-1.9950e-03,0.03,0.08
-1.9940e-03,0.03,0.12
-1.9930e-03,0.03,0.08
-1.9920e-03,-0.01,0.12
-1.9910e-03,0.01,0.12
-1.9900e-03,0.03,0.08
-1.9890e-03,-0.01,0.08
-1.9880e-03,0.03,0.1
-1.9870e-03,0.01,0.08
-1.9860e-03,-0.01,0.1
-1.9850e-03,-0.01,0.12
-1.9840e-03,-0.03,0.1
-1.9830e-03,-0.03,0.08
-1.9820e-03,0.01,0.12
-1.9810e-03,0.03,0.14
-1.9800e-03,0.07,0.12
-1.9790e-03,0.03,0.08
-1.9780e-03,0.05,0.12
-1.9770e-03,0.01,0.12
-1.9760e-03,0.01,0.06
-1.9750e-03,-0.01,0.08
-1.9740e-03,0.03,0.12
-1.9730e-03,0.03,0.1
-1.9720e-03,0.01,0.08
-1.9710e-03,0.05,0.1
-1.9700e-03,0.01,0.1
-1.9690e-03,0.03,0.06
-1.9680e-03,0.03,0.14
-1.9670e-03,-0.01,0.1
-1.9660e-03,0.03,0.06
-1.9650e-03,0.03,0.1
-1.9640e-03,0.01,0.08
-1.9630e-03,0.01,0.12
-1.9620e-03,0.03,0.12
-1.9610e-03,0.01,0.06
-1.9600e-03,0.01,0.1
-1.9590e-03,-0.01,0.12
-1.9580e-03,0.01,0.08
-1.9570e-03,0.01,0.08
-1.9560e-03,-0.01,0.12
-1.9550e-03,0.03,0.1
-1.9540e-03,0.01,0.04
-1.9530e-03,0.03,0.08
-1.9520e-03,0.01,0.12
-1.9510e-03,0.01,0.12
-1.9500e-03,-0.01,0.12
-1.9490e-03,0.03,0.12
-1.9480e-03,0.03,0.08
-1.9470e-03,0.01,0.1
-1.9460e-03,-0.01,0.1
